algorithm,heuristic,rows,cols,obstacle_ratio,seed,runtime,expanded,path_cost,found,used_seed
ucs,,20,20,0.2,1,0.00022879099560668692,303,38.0,1,1
greedy,manhattan,20,20,0.2,1,6.587499956367537e-05,57,48.0,1,1
astar,manhattan,20,20,0.2,1,0.00023512500047218055,242,38.0,1,1
greedy,euclidean,20,20,0.2,1,5.3625000873580575e-05,39,38.0,1,1
astar,euclidean,20,20,0.2,1,0.00022933400032343343,270,38.0,1,1
greedy,chebyshev,20,20,0.2,1,4.983299731975421e-05,39,38.0,1,1
astar,chebyshev,20,20,0.2,1,0.0002552500009187497,279,38.0,1,1
greedy,octile,20,20,0.2,1,8.362500375369564e-05,63,48.0,1,1
astar,octile,20,20,0.2,1,0.00016887499805307016,136,38.0,1,1
ucs,,20,20,0.2,7,0.00022104100207798183,318,38.0,1,7
greedy,manhattan,20,20,0.2,7,6.858400593046099e-05,84,60.0,1,7
astar,manhattan,20,20,0.2,7,0.000203875002625864,230,38.0,1,7
greedy,euclidean,20,20,0.2,7,4.429199907463044e-05,43,40.0,1,7
astar,euclidean,20,20,0.2,7,0.000231833997531794,289,38.0,1,7
greedy,chebyshev,20,20,0.2,7,5.1915994845330715e-05,47,42.0,1,7
astar,chebyshev,20,20,0.2,7,0.00025837499561021104,294,38.0,1,7
greedy,octile,20,20,0.2,7,9.937499999068677e-05,89,62.0,1,7
astar,octile,20,20,0.2,7,0.00017704099445836619,155,40.0,1,7
ucs,,20,20,0.2,13,0.00022412499674828723,320,38.0,1,13
greedy,manhattan,20,20,0.2,13,3.9792001189198345e-05,41,40.0,1,13
astar,manhattan,20,20,0.2,13,0.00022241699480218813,250,38.0,1,13
greedy,euclidean,20,20,0.2,13,4.2583000322338194e-05,39,38.0,1,13
astar,euclidean,20,20,0.2,13,0.0002357499979552813,292,38.0,1,13
greedy,chebyshev,20,20,0.2,13,4.3042004108428955e-05,39,38.0,1,13
astar,chebyshev,20,20,0.2,13,0.0002657910008565523,299,38.0,1,13
greedy,octile,20,20,0.2,13,5.666699871653691e-05,41,40.0,1,13
astar,octile,20,20,0.2,13,5.112499638926238e-05,41,38.0,1,13
ucs,,20,20,0.2,21,0.00022358400019584224,319,38.0,1,21
greedy,manhattan,20,20,0.2,21,4.362500476418063e-05,49,46.0,1,21
astar,manhattan,20,20,0.2,21,0.0001715420003165491,183,38.0,1,21
